id,imdb_id,title,release_date,spoken_languages,genres1,genres2,genres3,genres4,genres5,runtime,production_companies,production_countries,budget,revenue,overview,tagline,vote_count,homepage,popularity,Unnamed: 0,actors,boxoffice,director,poster_link,production_company,vote_average,vote_average (%),Internet_Movie_Database_rating,Rotten_Tomatoes_rating,Metacritic_rating,rating_average,writer
140300,tt2267968,Kung Fu Panda 3,1/23/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Action, Adventure,Animation,Comedy,Family,95,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'DreamWorks Animation', 'id': 521}, {'name': 'China Film Co.', 'id': 40890}, {'name': 'Oriental DreamWorks', 'id': 76266}","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}",145000000,521170825,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",Grab destiny by the rice dumplings.,1630,http://www.kungfupanda.com/,14.696548,10,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","$128,341,070 ","Alessandro Carloni, Jennifer Yuh Nelson",https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,DreamWorks Animation,6.7,67%,71%,87%,66%,73%,"Jonathan Aibel, Glenn Berger"
300673,tt2025690,The Finest Hours,1/25/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Action, Drama,History,Thriller,,114,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Whitaker Entertainment', 'id': 51164}, {'name': 'Bergsten Music', 'id': 77739}, {'name': 'Red Hawk Entertainment', 'id': 78217}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",80000000,52099090,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"32 survivors, room for 12.",597,https://www.facebook.com/thefinesthoursmovie,10.385757,11,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana","$20,278,493 ",Craig Gillespie,https://m.media-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@._V1_SX300.jpg,Walt Disney Pictures,6.3,63%,68%,64%,58%,63%,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Casey Sherman (book), Michael J. Tougias (book)"
351819,tt4667094,Fifty Shades of Black,1/28/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Romance, Comedy,,,,92,"[{'name': 'Open Road Films (II)', 'id': 16313}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",20000000,21164799,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,Way shadier than gray.,337,http://50shadesofblackmovie.com/,6.785049,12,"Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps",,Michael Tiddes,https://m.media-amazon.com/images/M/MV5BMTQ3MTg3MzY4OV5BMl5BanBnXkFtZTgwNTI4MzM1NzE@._V1_SX300.jpg,Open Road Films,4.3,43%,35%,7%,28%,28%,"Marlon Wayans, Rick Alvarez"
58431,tt1374989,Pride and Prejudice and Zombies,2/4/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Romance, Horror,Comedy,Thriller,,108,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Handsomecharlie Films', 'id': 8873}, {'name': 'Cross Creek Pictures', 'id': 10246}, {'name': 'Darko Entertainment', 'id': 12622}, {'name': 'Panorama Media', 'id': 13395}, {'name': 'QC Entertainment', 'id': 72725}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",28000000,16374328,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Bloody lovely.,662,https://www.facebook.com/PPZMovie,7.954623,13,"Lily James, Sam Riley, Bella Heathcote, Ellie Bamber","$8,639,097 ",Burr Steers,https://m.media-amazon.com/images/M/MV5BMjE1MzA3NzYxMl5BMl5BanBnXkFtZTgwMzQ0NDA5NzE@._V1_SX300.jpg,Sony Pictures,5.5,55%,58%,44%,45%,51%,"Burr Steers (screenplay), Jane Austen (Quirk Books novel), Seth Grahame-Smith (Quirk Books novel)"
330483,tt3797868,The Choice,2/4/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Drama, Romance,,,,111,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Nicholas Sparks Productions', 'id': 49825}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",10000000,18730891,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Let your heart decide.,527,http://www.thechoice.movie/,8.28378,14,"Benjamin Walker, Teresa Palmer, Maggie Grace, Alexandra Daddario","$15,285,347 ",Ross Katz,https://m.media-amazon.com/images/M/MV5BMTYzMDA2ODcxMV5BMl5BanBnXkFtZTgwODMzOTMzNzE@._V1_SX300.jpg,Lionsgate Films,6.7,67%,66%,11%,26%,43%,"Bryan Sipe (screenplay), Nicholas Sparks (novel)"
368940,tt4731008,Robinson Crusoe,2/4/2016,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}", Adventure, Animation,Comedy,Family,,90,"[{'name': 'StudioCanal', 'id': 694}, {'name': 'uFilm', 'id': 8676}, {'name': 'nWave Pictures', 'id': 10159}, {'name': 'Illuminata Pictures', 'id': 10160}","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}",13500000,3342697,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe. Tuesday immediately views Crusoe as his ticket off the island to explore new lands. Likewise, Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals. It isn't always easy at first, as the animals don't speak ""human."" Slowly but surely, they all start living together in harmony, until one day, when their comfortable life is overturned by two savage cats, who wish to take control of the island. A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats).",Just because you're stranded... doesn't mean you can't make some friends.,85,http://www.thewildlife.movie/,8.969705,15,"Matthias Schweighöfer, Kaya Yanar, Ilka Bessin, Dieter Hallervorden","$7,965,609 ","Vincent Kesteloot, Ben Stassen, Mimi Maynard",https://m.media-amazon.com/images/M/MV5BMjA4OTE0MjAwNl5BMl5BanBnXkFtZTgwMjY4Mzg2OTE@._V1_SX300.jpg,StudioCanal,5.8,58%,54%,17%,36%,41%,Domonic Paris
381374,tt5320514,Action Hero Biju,2/4/2016,"[{'iso_639_1': 'ml', 'name': ''}", Action, Comedy,Crime,,,144,"[{'name': 'Full On Studios', 'id': 73777}, {'name': 'Pauly Jr. Pictures', 'id': 93047}","[{'iso_3166_1': 'IN', 'name': 'India'}",300000,2500000,"Biju is an honest policeman who fights the injustice head-on. In his pursuit to keep things under control and clean, he encounters a series of events and cases which test his authority, honesty and integrity. With a week to his wedding, what ensues is a heartfelt story of a cop sans the cinematic hype.",A ride with a police officer,6,https://www.facebook.com/Actionherobiju/,0.350207,16,"Nivin Pauly, Anu Emmanuel, Devi Ajith, Baby",,Abrid Shine,https://m.media-amazon.com/images/M/MV5BODU0ZmFlZWMtZWUyZi00ZmU2LTg4OGMtZjBmMDgzMGQyMDA2XkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_SX300.jpg,Tricolor Entertainment,7.7,77%,77%,,,77%,"Muhammed Shafeekh (screenplay), Abrid Shine (story)"
270487,tt0475290,"Hail, Caesar!",2/5/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Comedy, Drama,Mystery,,,106,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Mike Zoss Productions', 'id': 2092}, {'name': 'Working Title Films', 'id': 10163}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",22000000,63647656,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.",Lights. Camera. Abduction.,1338,http://www.hailcaesar-film.com/ww/,11.241366,17,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","$27,927,631 ","Ethan Coen, Joel Coen",https://m.media-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Universal Pictures,5.7,57%,63%,86%,72%,70%,"Joel Coen, Ethan Coen"
297806,tt1490785,I Saw the Light,2/5/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Drama, Music,,,,123,"[{'name': 'Bron Studios', 'id': 13240}, {'name': 'RatPac Entertainment', 'id': 28732}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",13000000,1646788,"Singer and songwriter Hank Williams rises to fame in the 1940s, but alcohol abuse and infidelity take a toll on his career and marriage to fellow musician Audrey Mae Williams.",The story of Hank Williams,48,http://sonyclassics.com/isawthelight/,4.654312,18,"Tom Hiddleston, Elizabeth Olsen, Bradley Whitford, Cherry Jones",,Marc Abraham,https://m.media-amazon.com/images/M/MV5BMTU4NzQ1NjU2Ml5BMl5BanBnXkFtZTgwMzAwNjQ0NzE@._V1_SX300.jpg,,5.9,59%,57%,,47%,54%,"Marc Abraham, Colin Escott (book), George Merritt (book), William MacEwen (book)"
329833,tt1608290,Zoolander 2,2/6/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Comedy,,,,,100,"[{'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Red Hour Films', 'id': 12178}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",50000000,55969000,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,Long time no Z,814,http://www.zoolander.com/,10.155109,19,"Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller","$29,782,560 ",Ben Stiller,https://m.media-amazon.com/images/M/MV5BMjI2MjQxNTQzOV5BMl5BanBnXkFtZTgwMDE2MTY2NzE@._V1_SX300.jpg,Paramount Pictures,4.7,47%,47%,23%,34%,38%,"Justin Theroux, Ben Stiller, Nicholas Stoller, John Hamburg, Drake Sather (character Derek Zoolander), Ben Stiller (character Derek Zoolander)"
381890,tt4701660,The Mermaid,2/8/2016,"[{'iso_639_1': 'zh', 'name': '普通话'}", Comedy, Science Fiction,Fantasy,Romance,,93,"[{'name': 'China Film Group', 'id': 5635}","[{'iso_3166_1': 'CN', 'name': 'China'}",60720000,553810228,"A playboy business tycoon, Liu Xuan, purchases the Green Gulf, a wildlife reserve, for a sea reclamation project, and uses sonar technology to get rid of the sea life in the area. Unknown to him, the Green Gulf is the home of merpeople, and the sonar has caused many of them to succumb to illness or die. Xuan's business ventures in the area are threatened when he crosses paths with the mermaid, Shan, who is sent to avenge her people.","Half Fish, Half Human, 100% Assassin",76,http://www.imdb.com/title/tt4701660/,5.296052,20,"Chao Deng, Show Lo, Yuqi Zhang, Yun Lin","$3,229,457 ",Stephen Chow,https://m.media-amazon.com/images/M/MV5BYzQzZGQxZTUtZWZhMC00ODE0LWI3N2EtOThiOTg0ZDYxYjEwXkEyXkFqcGdeQXVyNjU0NzY4ODU@._V1_SX300.jpg,Sony Pictures,6.2,62%,62%,94%,69%,72%,"Hing-Ka Chan, Stephen Chow, Chi Keung Fung, Miu-Kei Ho, Ivy Kong, Si-Cheun Lee, Zhengyu Lu, Kan-Cheung Tsang"
293660,tt1431045,Deadpool,2/9/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Action, Adventure,Comedy,,,108,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': ""The Donners' Company"", 'id': 11307}, {'name': 'TSG Entertainment', 'id': 22213}, {'name': 'Kinberg Genre', 'id': 78091}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",58000000,783112979,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Witness the beginning of a happy ending,11444,http://www.foxmovies.com/movies/deadpool,187.860492,21,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer","$328,674,489 ",Tim Miller,https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,20th Century Fox,7.4,74%,80%,84%,65%,76%,"Rhett Reese, Paul Wernick"
269149,tt2948356,Zootopia,2/11/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Animation, Adventure,Family,Comedy,,108,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",150000000,1023784195,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",Welcome to the urban jungle.,4961,http://movies.disney.com/zootopia,26.024868,22,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","$341,264,012 ","Byron Howard, Rich Moore, Jared Bush(co-director)",https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,Walt Disney Animation Studios,7.7,77%,80%,97%,78%,83%,"Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay by), Phil Johnston (screenplay by)"
245703,tt2649554,Midnight Special,2/18/2016,"[{'iso_639_1': 'en', 'name': 'English'}", Adventure, Drama,Science Fiction,,,112,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Faliro House Productions', 'id': 19246}, {'name': 'Tri-State Pictures', 'id': 50914}","[{'iso_3166_1': 'US', 'name': 'United States of America'}",18000000,6212282,A father and son go on the run after the dad learns his child possesses special powers.,He's not like us.,705,http://www.midnightspecialmovie.com/,12.682927,23,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver","$3,324,164 ",Jeff Nichols,https://m.media-amazon.com/images/M/MV5BMTcwYjMxNTAtMjZkNC00YjJlLTg2ZGItNTM0NWVhYzEzYTZkXkEyXkFqcGdeQXVyNTY0MTkxMTg@._V1_SX300.jpg,Warner Bros. Pictures,6.2,62%,66%,83%,76%,72%,Jeff Nichols
318781,tt4005402,Colonia,2/18/2016,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}", Drama, Romance,History,,,120,"[{'name': 'Majestic Filmproduktion', 'id': 2094}, {'name': 'Rat Pack Filmproduktion', 'id': 5754}, {'name': 'Iris productions', 'id': 6938}, {'name': 'Fred Films', 'id': 88045}","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}",14000000,3621046,"A young woman's desperate search for her abducted boyfriend that draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from.",There is no turning back,566,http://screenmediafilms.net/productions/details/1635/Colonia,10.156891,24,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey",,Florian Gallenberger,https://m.media-amazon.com/images/M/MV5BMjE3NjQ1MTIxNl5BMl5BanBnXkFtZTgwOTY4OTIzODE@._V1_SX300.jpg,Majestic Filmproduktion,7.4,74%,71%,26%,33%,51%,"Torsten Wenzel, Florian Gallenberger, Tom Kinninmont (additional script material by)"
